"","duration","maxGrip","maxGripTime","maxGripTimeRel","condition","type","period","gripType","num","file","obsisSubj","obsisSession","obsisTrial","fins","stick","stickcm","orientation","stickcmCentered","stickFiveRef","stickNineRef","stickElevenRef","finsSumCoded"
"32",0.275,97.8500605252886,0,0,"8","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_004.csv","063","002","004","open","nine",9,"horizontal",1,"nine","nine","nine","open"
"33",0.308333333333333,92.623953488016,0.0333333333333333,0.108108108108108,"9","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_004.csv","063","002","004","closed","nine",9,"horizontal",1,"nine","nine","nine","closed"
"34",0.275,112.491760905573,0,0,"10","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_004.csv","063","002","004","none","eleven",11,"horizontal",3,"eleven","eleven","eleven","none"
"35",0.341666666666667,117.905614604281,0.341666666666667,1,"11","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_004.csv","063","002","004","open","eleven",11,"horizontal",3,"eleven","eleven","eleven","open"
"36",0.275,105.292932403266,0.275,1,"12","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_004.csv","063","002","004","closed","eleven",11,"horizontal",3,"eleven","eleven","eleven","closed"
"37",0.833333333333333,75.2322986143715,0,0,"1","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_010.csv","063","001","010","none","five",5,"horizontal",-3,"five","five","five","none"
"38",0.558333333333333,65.4624755253381,0.0166666666666667,0.0298507462686567,"3","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_010.csv","063","001","010","closed","five",5,"horizontal",-3,"five","five","five","closed"
"39",0.641666666666667,94.0248070306636,0.0916666666666667,0.142857142857143,"5","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_010.csv","063","001","010","open","seven",7,"horizontal",-1,"seven","seven","seven","open"
"40",0.616666666666667,72.2949845422041,0.05,0.0810810810810811,"6","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_010.csv","063","001","010","closed","seven",7,"horizontal",-1,"seven","seven","seven","closed"
"41",0.791666666666667,104.491932485398,0.241666666666667,0.305263157894737,"7","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_010.csv","063","001","010","none","nine",9,"horizontal",1,"nine","nine","nine","none"
